published,ecosystem,fixed,severity
2022-04-20T16:21:03Z,npm,1.0,HIGH
2022-04-02T00:00:13Z,npm,1.0,HIGH
2022-04-08T18:11:51Z,NuGet,1.0,HIGH
2022-04-22T20:39:47Z,NuGet,1.0,MODERATE
2022-04-14T00:00:19Z,Packagist,0.0,MODERATE
2022-04-08T00:00:21Z,Maven,1.0,CRITICAL
2022-04-11T00:00:22Z,npm,1.0,MODERATE
2022-04-05T18:31:51Z,Packagist,1.0,LOW
2022-04-22T20:42:46Z,Go,1.0,MODERATE
2022-04-05T18:30:15Z,npm,1.0,HIGH
2022-04-01T13:59:17Z,PyPI,1.0,HIGH
2022-04-12T19:42:45Z,Hex,1.0,MODERATE
2022-04-26T21:19:52Z,PyPI,1.0,MODERATE
2022-04-07T22:10:22Z,Go,1.0,MODERATE
2022-04-04T00:00:55Z,Packagist,1.0,CRITICAL
2022-04-27T21:05:15Z,Maven,1.0,HIGH
2022-04-12T20:45:22Z,Packagist,1.0,HIGH
2022-04-23T00:03:02Z,Packagist,1.0,MODERATE
2022-04-13T00:00:16Z,Maven,1.0,MODERATE
2022-04-12T21:23:43Z,Hex,1.0,HIGH
2022-04-05T17:47:26Z,PyPI,1.0,HIGH
2022-04-06T00:01:30Z,Go,1.0,HIGH
2022-04-26T21:14:57Z,Maven,1.0,MODERATE
2022-04-13T00:00:33Z,PyPI,1.0,CRITICAL
2022-04-12T00:00:34Z,Packagist,0.0,HIGH
2022-04-07T15:18:05Z,npm,1.0,HIGH
2022-04-08T00:00:24Z,crates.io,1.0,MODERATE
2022-04-06T00:01:30Z,Go,1.0,HIGH
2022-04-04T21:25:48Z,NuGet,1.0,HIGH
2022-04-12T00:07:34Z,NuGet,1.0,HIGH
2022-04-08T00:00:24Z,crates.io,1.0,CRITICAL
2022-04-01T00:00:41Z,npm,1.0,MODERATE
2022-04-01T00:00:41Z,Packagist,0.0,HIGH
2022-04-26T00:00:43Z,Packagist,1.0,CRITICAL
2022-04-09T00:00:25Z,Packagist,0.0,CRITICAL
2022-04-11T21:38:11Z,RubyGems,1.0,HIGH
2022-04-13T00:00:22Z,npm,1.0,CRITICAL
2022-04-15T00:00:40Z,crates.io,0.0,MODERATE
2022-04-08T22:09:23Z,Go,1.0,HIGH
2022-04-17T00:00:32Z,Packagist,1.0,MODERATE
2022-04-01T14:05:33Z,Go,1.0,CRITICAL
2022-04-12T21:29:30Z,Hex,1.0,MODERATE
2022-04-01T20:52:29Z,Go,1.0,HIGH
2022-04-22T20:48:28Z,PyPI,1.0,HIGH
2022-04-06T00:01:29Z,npm,1.0,MODERATE
2022-04-22T20:23:04Z,crates.io,1.0,HIGH
2022-04-26T00:00:41Z,RubyGems,0.0,HIGH
2022-04-12T21:27:49Z,Hex,1.0,MODERATE
2022-04-11T21:18:06Z,RubyGems,1.0,HIGH
2022-04-27T21:09:13Z,Go,1.0,LOW
2022-04-27T21:25:59Z,Maven,1.0,MODERATE
2022-04-26T21:21:00Z,Maven,1.0,MODERATE
2022-04-22T20:23:44Z,NuGet,1.0,HIGH
2022-04-12T22:40:14Z,Go,1.0,MODERATE
2022-04-12T21:20:20Z,Hex,1.0,HIGH
2022-04-13T00:00:33Z,PyPI,1.0,CRITICAL
2022-04-06T00:01:28Z,Maven,1.0,HIGH
2022-04-15T00:00:45Z,Packagist,1.0,MODERATE
2022-04-14T00:00:19Z,Packagist,1.0,HIGH
2022-04-06T00:01:29Z,Packagist,1.0,HIGH
2022-04-22T00:00:33Z,Maven,1.0,MODERATE
2022-04-01T13:36:12Z,crates.io,1.0,HIGH
2022-04-04T21:40:45Z,PyPI,1.0,HIGH
2022-04-22T20:49:09Z,npm,1.0,MODERATE
2022-04-13T00:00:18Z,Maven,1.0,MODERATE
2022-04-20T00:00:30Z,Go,1.0,LOW
2022-04-06T00:01:32Z,Packagist,1.0,HIGH
2022-04-14T00:00:17Z,Go,1.0,MODERATE
2022-04-27T21:09:46Z,Maven,1.0,MODERATE
2022-04-16T00:00:26Z,npm,1.0,HIGH
2022-04-06T00:01:29Z,Packagist,0.0,MODERATE
2022-04-05T17:53:22Z,Packagist,1.0,HIGH
2022-04-22T20:15:38Z,Packagist,1.0,HIGH
2022-02-15T00:41:12Z,Go,1.0,HIGH
2022-02-28T00:00:34Z,Packagist,1.0,MODERATE
2022-02-02T00:01:52Z,Maven,1.0,MODERATE
2022-02-19T00:01:25Z,npm,0.0,CRITICAL
2022-02-09T23:46:46Z,PyPI,1.0,MODERATE
2022-02-09T00:58:52Z,Maven,1.0,MODERATE
2022-02-15T01:57:18Z,Go,1.0,HIGH
2022-02-09T22:49:38Z,npm,1.0,MODERATE
2022-02-24T13:11:51Z,PyPI,1.0,MODERATE
2022-02-09T23:29:38Z,PyPI,1.0,MODERATE
2022-02-06T00:00:54Z,Packagist,1.0,MODERATE
2022-02-09T00:56:37Z,Maven,1.0,MODERATE
2022-02-19T00:01:25Z,Packagist,1.0,MODERATE
2022-02-10T20:39:47Z,Maven,1.0,HIGH
2022-02-15T01:57:18Z,Go,1.0,HIGH
2022-02-12T00:00:38Z,npm,1.0,CRITICAL
2022-02-10T22:42:48Z,Maven,1.0,MODERATE
2022-02-10T20:47:29Z,Maven,1.0,CRITICAL
2022-02-11T23:41:11Z,Go,1.0,MODERATE
2022-02-01T00:51:01Z,npm,0.0,MODERATE
2022-02-09T23:54:07Z,PyPI,1.0,HIGH
2022-02-07T22:01:24Z,PyPI,1.0,MODERATE
2022-02-09T22:54:21Z,Maven,1.0,LOW
2022-02-22T21:51:19Z,NuGet,1.0,HIGH
2022-02-15T00:41:14Z,Go,1.0,MODERATE
2022-02-09T23:38:36Z,PyPI,1.0,CRITICAL
